"Club","Event 1","Event 2","Total"
"SCAT","97.8742","98.4627","196.3369"
""
"SCNAX","97.2962","94.5656","191.8618"
""
"NOCLUB","94.0921","95.4589","189.5510"
""
"DCCSD","0.0000","95.2313","95.2313"
""
