"Club","Event 1","Event 2","Event 3","Total"
"SCAT","97.8742","98.4627","98.1145","196.5772"
""
"DCCSD","0.0000","95.2313","100.0000","195.2313"
""
"SCNAX","97.2962","94.5656","97.1308","194.4270"
""
"NOCLUB","94.0921","95.4589","95.8366","191.2955"
""
