"Club","Event 1","Event 2","Event 3","Event 4","Total"
"SCAT","97.8742","98.4627","98.1145","96.9202","294.4514"
""
"DCCSD","0.0000","95.2313","100.0000","99.0240","294.2553"
""
"SCNAX","97.2962","94.5656","97.1308","97.4701","291.8971"
""
"NOCLUB","94.0921","95.4589","95.8366","95.5484","286.8439"
""
