"Club","Event 1","Event 2","Event 3","Event 4","Event 5","Event 6","Total"
"SCAT","97.8742","98.4627","98.1145","96.9202","97.7335","99.4175","393.8689"
""
"DCCSD","0.0000","95.2313","100.0000","99.0240","0.0000","97.8360","392.0913"
""
"SCNAX","97.2962","94.5656","97.1308","97.4701","96.6815","98.1227","390.0198"
""
"NOCLUB","94.0921","95.4589","95.8366","95.5484","92.8438","96.4992","383.3431"
""
